id,grupo_id,codigo,descricao
1,1,A00,Cólera
2,1,A01,Febres tifóide e paratifóide
3,1,A02,Outras infecções por Salmonella
4,1,A03,Shiguelose
5,1,A04,Outras infecções intestinais bacterianas
6,1,A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte"
7,1,A06,Amebíase
8,1,A07,Outras doenças intestinais por protozoários
9,1,A08,"Infecções intestinais virais, outras e as não especificadas"
10,1,A09,Diarréia e gastroenterite de origem infecciosa presumível
11,2,A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica"
12,2,A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
13,2,A17,Tuberculose do sistema nervoso
14,2,A18,Tuberculose de outros órgãos
15,2,A19,Tuberculose miliar
16,3,A20,Peste
17,3,A21,Tularemia
18,3,A22,Carbúnculo
19,3,A23,Brucelose
20,3,A24,Mormo e melioidose
21,3,A25,Febres transmitidas por mordedura de rato
22,3,A26,Erisipelóide
23,3,A27,Leptospirose
24,3,A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte
25,4,A30,Hanseníase [doença de Hansen] [lepra]
26,4,A31,Infecções devidas a outras micobactérias
27,4,A32,Listeriose [listeríase]
28,4,A33,Tétano do recém-nascido [neonatal]
29,4,A34,Tétano obstétrico
30,4,A35,Outros tipos de tétano
31,4,A36,Difteria
32,4,A37,Coqueluche
33,4,A38,Escarlatina
34,4,A39,Infecção meningogócica
35,4,A40,Septicemia estreptocócica
36,4,A41,Outras septicemias
37,4,A42,Actinomicose
38,4,A43,Nocardiose
39,4,A44,Bartonelose
40,4,A46,Erisipela
41,4,A48,Outras doenças bacterianas não classificadas em outra parte
42,4,A49,Infecção bacteriana de localização não especificada
43,5,A50,Sífilis congênita
44,5,A51,Sífilis precoce
45,5,A52,Sífilis tardia
46,5,A53,Outras formas e as não especificadas da sífilis
47,5,A54,Infecção gonocócica
48,5,A55,Linfogranuloma (venéreo) por clamídia
49,5,A56,Outras infecções causadas por clamídias transmitidas por via sexual
50,5,A57,Cancro mole
51,5,A58,Granuloma inguinal
52,5,A59,Tricomoníase
53,5,A60,Infecções anogenitais pelo vírus do herpes [herpes simples]
54,5,A63,"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
55,5,A64,"Doenças sexualmente transmitidas, não especificadas"
56,6,A65,Sífilis não-venérea
57,6,A66,Bouba
58,6,A67,Pinta [carate]
59,6,A68,Febres recorrentes [Borrelioses]
60,6,A69,Outras infecções por espiroquetas
61,7,A70,Infecções causadas por Clamídia psittaci
62,7,A71,Tracoma
63,7,A74,Outras doenças causadas por Clamídias
64,8,A75,Tifo exantemático
