id,categoria_id,codigo,patologia
1,1,A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae"
2,1,A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor"
3,1,A009,Cólera não especificada
4,2,A010,Febre tifóide
5,2,A011,Febre paratifóide A
6,2,A012,Febre paratifóide B
7,2,A013,Febre paratifóide C
8,2,A014,Febre paratifóide não especificada
9,3,A020,Enterite por salmonela
10,3,A021,Septicemia por salmonela
11,3,A022,Infecções localizadas por salmonela
12,3,A028,Outras infecções especificadas por salmonela
13,3,A029,Infecção não especificada por salmonela
14,4,A030,Shiguelose devida a Shigella dysenteriae
15,4,A031,Shiguelose devida a Shigella flexneri
16,4,A032,Shiguelose devida a Shigella boydii
17,4,A033,Shiguelose devida a Shigella sonnei
18,4,A038,Outras shigueloses
19,4,A039,Shiguelose não especificada
20,5,A040,Infecção por Escherichia coli enteropatogênica
21,5,A041,Infecção por Escherichia coli enterotoxigênica
22,5,A042,Infecção por Escherichia coli enteroinvasiva
23,5,A043,Infecção por Escherichia coli enterohemorrágica
24,5,A044,Outras infecções intestinais por Escherichia coli
25,5,A045,Enterite por Campylobacter
26,5,A046,Enterite devida a Yersinia enterocolítica
27,5,A047,Enterocolite devida a Clostridium difficile
28,5,A048,Outras infecções bacterianas intestinais especificadas
29,5,A049,Infecção intestinal bacteriana não especificada
30,6,A050,Intoxicação alimentar estafilocócica
31,6,A051,Botulismo
32,6,A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii]
33,6,A053,Intoxicação alimentar devida a Vibrio parahemolyticus
34,6,A054,Intoxicação alimentar devida a Bacillus cereus
35,6,A058,Outras intoxicações alimentares bacterianas especificadas
36,6,A059,Intoxicação alimentar bacteriana não especificada
37,7,A060,Disenteria amebiana aguda
38,7,A061,Amebíase intestinal crônica
39,7,A062,Colite amebiana não-disentérica
40,7,A063,Ameboma intestinal
41,7,A064,Abscesso amebiano do fígado
42,7,A065,Abscesso amebiano do pulmão
43,7,A066,Abscesso amebiano do cérebro
44,7,A067,Amebíase cutânea
45,7,A068,Infecção amebiana de outras localizações
46,7,A069,Amebíase não especificada
47,8,A070,Balantidíase
48,8,A071,Giardíase [lamblíase]
49,8,A072,Criptosporidiose
50,8,A073,Isosporíase
51,8,A078,Outras doenças intestinais especificadas por protozoários
52,8,A079,Doença intestinal não especificada por protozoários
53,9,A080,Enterite por rotavírus
54,9,A081,Gastroenteropatia aguda pelo agente de Norwalk
55,9,A082,Enterite por adenovírus
56,9,A083,Outras enterites virais
57,9,A084,Infecção intestinal devida a vírus não especificado
58,9,A085,Outras infecções intestinais especificadas
59,10,A09,Diarréia e gastroenterite de origem infecciosa presumível
60,11,A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura"
61,11,A151,"Tuberculose pulmonar, com confirmação somente por cultura"
62,11,A152,"Tuberculose pulmonar, com confirmação histológica"
63,11,A153,"Tuberculose pulmonar, com confirmação por meio não especificado"
64,11,A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica"
65,11,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica"
66,11,A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica"
67,11,A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica"
68,11,A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica"
69,11,A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica"
70,12,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos
71,12,A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico"
72,12,A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica"
73,12,A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica"
74,12,A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica"
75,12,A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica"
76,12,A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica
77,12,A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica"
78,12,A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica"
79,13,A170,Meningite tuberculosa
80,13,A171,Tuberculoma meníngeo
81,13,A178,Outras tuberculoses do sistema nervoso
82,13,A179,Tuberculose não especificada do sistema nervoso
83,14,A180,Tuberculose óssea e das articulações
84,14,A181,Tuberculose do aparelho geniturinário
85,14,A182,Linfadenopatia tuberculosa periférica
86,14,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos"
87,14,A184,Tuberculose de pele e do tecido celular subcutâneo
88,14,A185,Tuberculose do olho
89,14,A186,Tuberculose do ouvido
90,14,A187,Tuberculose das supra-renais
91,14,A188,Tuberculose de outros órgãos especificados
92,15,A190,Tuberculose miliar aguda de localização única e especificada
93,15,A191,Tuberculose miliar aguda de múltiplas localizações
94,15,A192,Tuberculose miliar aguda não especificada
95,15,A198,Outras tuberculoses miliares
96,15,A199,Tuberculose miliar não especificada
97,16,A200,Peste bubônica
98,16,A201,Peste celulocutânea
99,16,A202,Peste pneumônica
100,16,A203,Peste meníngea
101,16,A207,Peste septicêmica
102,16,A208,Outras formas de peste
103,16,A209,"Peste, forma não especificada"
104,17,A210,Tularemia ulceroglandular
105,17,A211,Tularemia oculoglandular
106,17,A212,Tularemia pulmonar
107,17,A213,Tularemia gastrointestinal
108,17,A217,Tularemia generalizada
109,17,A218,Outras formas de tularemia
110,17,A219,"Tularemia, forma não especificada"
111,18,A220,Carbúnculo cutâneo
112,18,A221,Carbúnculo pulmonar
113,18,A222,Carbúnculo gastrointestinal
114,18,A227,Septicemia carbunculosa
115,18,A228,Outras formas de carbúnculo
116,18,A229,"Carbúnculo, forma não especificada"
117,19,A230,Brucelose por Brucella melitensis
118,19,A231,Brucelose por Brucella abortus
119,19,A232,Brucelose por Brucella suis
120,19,A233,Brucelose por Brucella canis
121,19,A238,Outras bruceloses
122,19,A239,Brucelose não especificada
123,20,A240,Mormo
124,20,A241,Melioidose aguda e fulminante
125,20,A242,Melioidose subaguda e crônica
126,20,A243,Outras melioidoses
127,20,A244,Melioidose não especificada
128,21,A250,Espirilose
129,21,A251,Estreptobacilose
130,21,A259,"Febre transmitida por mordedura de rato, tipo não especificado"
131,22,A260,Erisipelóide cutâneo
132,22,A267,Septicemia por Erysipelothrix
133,22,A268,Outras formas de erisipelóide
134,22,A269,Erisipelóide não especificado
135,23,A270,Leptopirose icterohemorrágica
136,23,A278,Outras formas de leptospirose
137,23,A279,Leptospirose não especificada
138,24,A280,Pasteurelose
139,24,A281,Doença por arranhadura do gato
140,24,A282,Yersiniose extra-intestinal
141,24,A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte
142,24,A289,Doença bacteriana zoonótica não especificada
143,25,A300,Hanseníase [lepra] indeterminada
144,25,A301,Hanseníase [lepra] tuberculóide
145,25,A302,Hanseníase [lepra] tuberculóide borderline
146,25,A303,Hanseníase [lepra] dimorfa
147,25,A304,Hanseníase [lepra] lepromatosa borderline
148,25,A305,Hanseníase [lepra] lepromatosa
149,25,A308,Outras formas de hanseníase [lepra]
150,25,A309,Hanseníase [lepra] não especificada
151,26,A310,Infecção pulmonar micobacteriana
152,26,A311,Infecção cutânea micobacteriana
153,26,A318,Outras infecções micobacterianas
154,26,A319,Infecção micobacteriana não especificada
155,27,A320,Listeriose cutânea
156,27,A321,Meningite e meningoencefalite por listéria
157,27,A327,Septicemia listeriótica
158,27,A328,Outras formas de listeriose
159,27,A329,Listeriose não especificada
160,28,A33,Tétano do recém-nascido [neonatal]
161,29,A34,Tétano obstétrico
162,30,A35,Outros tipos de tétano
163,31,A360,Difteria faríngea
164,31,A361,Difteria nasofaríngea
165,31,A362,Difteria laríngea
166,31,A363,Difteria cutânea
167,31,A368,Outras formas de difteria
168,31,A369,Difteria não especificada
169,32,A370,Coqueluche por Bordetella pertussis
170,32,A371,Coqueluche por Bordetella parapertussis
171,32,A378,Coqueluche por outras espécies da Bordetella
172,32,A379,Coqueluche não especificada
173,33,A38,Escarlatina
174,34,A390,Meningite meningocócica
175,34,A391,Síndrome de Waterhouse-Friderichsen
176,34,A392,Meningococcemia aguda
177,34,A393,Meningococcemia crônica
178,34,A394,Meningococcemia não especificada
179,34,A395,Cardite por meningococos
180,34,A398,Outras infecções por meningococos
181,34,A399,Infecção meningocócica não especificada
182,35,A400,Septicemia por Streptococcus do grupo A
183,35,A401,Septicemia por Streptococcus do grupo B
184,35,A402,Septicemia por Streptococcus do grupo D
185,35,A403,Septicemia por Streptococcus pneumonia
186,35,A408,Outras septicemias estreptocócicas
187,35,A409,Septicemia estreptocócica não especificada
188,36,A410,Septicemia por Staphylococcus aureus
189,36,A411,Septicemia por outros estafilococos especificados
190,36,A412,Septicemia por estafilococos não especificados
191,36,A413,Septicemia por Haemophilus influenzae
192,36,A414,Septicemia por anaeróbios
193,36,A415,Septicemia por outros microorganismos gram-negativos
194,36,A418,Outras septicemias especificadas
195,36,A419,Septicemia não especificada
196,37,A420,Actinomicose pulmonar
197,37,A421,Actinomicose abdominal
198,37,A422,Actinomicose cervicofacial
199,37,A427,Septicemia actinomicótica
200,37,A428,Outras formas de actinomicose
201,37,A429,Actinomicose não especificada
202,38,A430,Nocardiose pulmonar
203,38,A431,Nocardiose cutânea
204,38,A438,Outras formas de nocardiose
205,38,A439,Nocardiose não especificada
206,39,A440,Bartonelose sistêmica
207,39,A441,Bartonelose cutânea e cutâneo-mucosa
208,39,A448,Outras formas de bartonelose
209,39,A449,Bartonelose não especificada
210,40,A46,Erisipela
211,41,A480,Gangrena gasosa
212,41,A481,Doença dos legionários
213,41,A482,Doença dos legionários não-pneumônica [febre de Pontiac]
214,41,A483,Síndrome do choque tóxico
215,41,A484,Febre purpúrica do Brasil
216,41,A488,Outras doenças bacterianas especificadas
217,42,A490,Infecção estafilocócica de localização não especificada
218,42,A491,Infecção estreptocócica de localização não especificada
219,42,A492,Infecção por Haemophilus influenzae de localização não especificada
220,42,A493,Infecção por Mycoplasma de localização não especificada
221,42,A498,Outras infecções bacterianas de localização não especificada
222,42,A499,Infecção bacteriana não especificada
223,43,A500,Sífilis congênita precoce sintomática
224,43,A501,"Sífilis congênita precoce, forma latente"
225,43,A502,Sífilis congênita precoce não especificada
226,43,A503,Oculopatia sifilítica congênita tardia
227,43,A504,Neurossífilis congênita tardia [neurossífilis juvenil]
228,43,A505,Outras formas tardias e sintomáticas da sífilis congênita
229,43,A506,Sífilis congênita tardia latente
230,43,A507,Sífilis congênita tardia não especificada
231,43,A509,Sífilis congênita não especificada
232,44,A510,Sífilis genital primária
233,44,A511,Sífilis anal primária
234,44,A512,Sífilis primária de outras localizações
235,44,A513,Sífilis secundária da pele e das mucosas
236,44,A514,Outras formas de sífilis secundária
237,44,A515,Sífilis precoce latente
238,44,A519,Sífilis precoce não especificada
239,45,A520,Sífilis cardiovascular
240,45,A521,Neurossífilis sintomática
241,45,A522,Neurossífilis assintomática
242,45,A523,Neurossífilis não especificada
243,45,A527,Outras formas de sífilis tardia sintomática
244,45,A528,Sífilis tardia latente
245,45,A529,Sífilis tardia não especificada
246,46,A530,"Sífilis latente, não especificada se recente ou tardia"
247,46,A539,Sífilis não especificada
248,47,A540,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias"
249,47,A541,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias"
250,47,A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas
251,47,A543,Infecção gonocócica do olho
252,47,A544,Infecção gonocócica do sistema músculo-esquelético
253,47,A545,Faringite gonocócica
254,47,A546,Infecção gonocócica do ânus ou do reto
255,47,A548,Outras infecções gonocócicas
256,47,A549,Infecção gonocócica não especificada
257,48,A55,Linfogranuloma (venéreo) por clamídia
258,49,A560,Infecções por clamídias do trato geniturinário inferior
259,49,A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários"
260,49,A562,"Infecção por clamídias do trato geniturinário, localização não especificada"
261,49,A563,Infecção do ânus e do reto por clamídias
262,49,A564,Infecção da faringe por clamídias
263,49,A568,"Infecção por clamídias transmitida por via sexual, de outras localizações"
264,50,A57,Cancro mole
265,51,A58,Granuloma inguinal
266,52,A590,Tricomoníase urogenital
267,52,A598,Outras localizações de tricomoníase
268,52,A599,Tricomoníase não especificada
269,53,A600,Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes
270,53,A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes
271,53,A609,Infecção anogenital não especificada pelo vírus do herpes
272,54,A630,Verrugas anogenitais (venéreas)
273,54,A638,Outras doenças especificadas de transmissão predominantemente sexual
274,55,A64,"Doenças sexualmente transmitidas, não especificadas"
275,56,A65,Sífilis não-venérea
276,57,A660,Lesões iniciais da bouba
277,57,A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba)
278,57,A662,Outras lesões cutâneas precoces da bouba
279,57,A663,Hiperceratose devida a bouba
280,57,A664,Gomas e úlceras devidas à bouba
281,57,A665,Gangosa
282,57,A666,Lesões osteoarticulares devidas à bouba
283,57,A667,Outras manifestações da bouba
284,57,A668,Bouba latente
285,57,A669,Bouba não especificada
286,58,A670,Lesões primárias da pinta
287,58,A671,Lesões intermediárias da pinta
288,58,A672,Lesões tardias da pinta
289,58,A673,Lesões mistas da pinta
290,58,A679,Pinta não especificada
291,59,A680,Febre recorrente transmitida por piolhos
292,59,A681,Febre recorrente transmitida por carrapatos
293,59,A689,Febre recorrente não especificada
294,60,A690,Estomatite ulcerativa necrotizante
295,60,A691,Outras infecções de Vincent
296,60,A692,Doença de Lyme
297,60,A698,Outras infecções especificadas por espiroquetas
298,60,A699,"Infecção por espiroqueta, não especificada"
299,61,A70,Infecções causadas por Clamídia psittaci
300,62,A710,Fase inicial do tracoma
301,62,A711,Fase ativa do tracoma
302,62,A719,Tracoma não especificado
303,63,A740,Conjuntivite causada por clamídias
304,63,A748,Outras doenças causadas por clamídias
305,63,A749,Infecção causada por clamídias não especificada
306,64,A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii
307,64,A751,Tifo recrudescente [doença de Brill]
308,64,A752,Tifo por Rickettsia typhi
309,64,A753,Tifo por Rickettsia tsutsugamuchi
310,64,A759,Tifo não especificado
311,65,A770,Febre maculosa por Rickettsia richettsii
312,65,A771,Febre maculosa por Rickettsia conorii
313,65,A772,Febre maculosa devida à Rickettsia siberica
314,65,A773,Febre maculosa devida à Rickettsia australis
315,65,A778,Outras febres maculosas
316,65,A779,Febre maculosa não especificada
317,66,A78,Febre Q
318,67,A790,Febre das trincheiras
319,67,A791,Rickettsiose variceliforme devida à Rickettsia akari
320,67,A798,Outros tipos de rickettsioses especificadas
321,67,A799,Rickettsiose não especificada
322,68,A800,"Poliomielite paralítica aguda, associada ao vírus vacinal"
323,68,A801,"Poliomielite paralítica aguda, vírus selvagem importado"
324,68,A802,"Poliomielite paralítica aguda, vírus selvagem indígena"
325,68,A803,"Poliomielites paralíticas agudas, outras e não especificadas"
326,68,A804,Poliomielite aguda não-paralítica
327,68,A809,Poliomielite aguda não especificada
328,69,A810,Doença de Creutzfeldt-Jakob
329,69,A811,Panencefalite esclerosante subaguda
330,69,A812,Leucoencefalopatia multifocal progressiva
331,69,A818,Outras infecções por vírus atípicos do sistema nervoso central
332,69,A819,Infecção não especificada do sistema nervosos central por vírus atípicos
333,70,A820,Raiva silvestre
334,70,A821,Raiva urbana
335,70,A829,Raiva não especificada
336,71,A830,Encefalite japonesa
337,71,A831,Encefalite eqüina ocidental
338,71,A832,Encefalite eqüina oriental
339,71,A833,Encefalite de St. Louis
340,71,A834,Encefalite australiana
341,71,A835,Encefalite da Califórnia
342,71,A836,Doença pelo vírus de Rocio
343,71,A838,Outras encefalites por vírus transmitidas por mosquitos
344,71,A839,Encefalite não especificada por vírus transmitida por mosquitos
345,72,A840,Encefalite da taiga [encefalite vernoestival russa]
346,72,A841,Encefalite da Europa Central transmitida por carrapatos
347,72,A848,Outras encefalites por vírus transmitidas por carrapatos
348,72,A849,Encefalite não especificada por vírus transmitida por carrapatos
349,73,A850,Encefalite por enterovírus
350,73,A851,Encefalite por adenovírus
351,73,A852,"Encefalite por vírus transmitido por artrópodes, não especificada"
352,73,A858,Outras encefalites virais especificadas
353,74,A86,"Encefalite viral, não especificada"
354,75,A870,Meningite por enterovírus
355,75,A871,Meningite por adenovírus
356,75,A872,Coriomeningite linfocitária
357,75,A878,Outras meningites virais
358,75,A879,Meningite viral não especificada
359,76,A880,Febre exantemática por enterovírus [exantema de Boston]
360,76,A881,Vertigem epidêmica
361,76,A888,Outras infecções virais especificadas do sistema nervoso central
362,77,A89,Infecções virais não especificadas do sistema nervoso central
363,78,A90,Dengue [dengue clássico]
364,79,A91,Febre hemorrágica devida ao vírus do dengue
365,80,A920,Febre de Chikungunya
366,80,A921,Febre de O'nyong-nyong
367,80,A922,Febre eqüina venezuelana
368,80,A923,Infecção pelo vírus West Nile
369,80,A924,Febre do vale do Rift
370,80,A928,Outras febres virais especificadas transmitidas por mosquitos
371,80,A929,"Febre viral transmitida por mosquitos, não especificada"
372,81,A930,Febre de Oropouche
373,81,A931,Febre por flebótomos
374,81,A932,Febre do Colorado transmitida por carrapatos
375,81,A938,Outras febres virais especificadas transmitidas por artrópodes
376,82,A94,"Febre viral transmitida por artrópodes, não especificada"
377,83,A950,Febre amarela silvestre
378,83,A951,Febre amarela urbana
379,83,A959,Febre amarela não especificada
380,84,A960,Febre hemorrágica de Junin
381,84,A961,Febre hemorrágica de Machupo
382,84,A962,Febre de Lassa
383,84,A968,Outras febres hemorrágicas por arenavírus
384,84,A969,"Febre hemorrágica por arenavírus, não especificada"
385,85,A980,Febre hemorrágica da Criméia (do Congo)
386,85,A981,Febre hemorrágica de Omsk
387,85,A982,Doença da floresta de Kyasanur
388,85,A983,Doença de Marburg
389,85,A984,Doença pelo vírus Ebola
390,85,A985,Febre hemorrágica com síndrome renal
391,85,A988,Outras febres hemorrágicas especificadas por vírus
392,86,A99,Febres hemorrágicas virais não especificadas
393,87,B000,Eczema herpético
394,87,B001,Dermatite vesicular devido ao vírus do herpes
395,87,B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes
396,87,B003,Meningite devida ao vírus do herpes
397,87,B004,Encefalite devida ao vírus do herpes
398,87,B005,Afecções oculares devidas ao vírus do herpes
399,87,B007,Doença disseminada devida ao vírus do herpes
400,87,B008,Outras formas de infecção devida ao vírus do herpes
401,87,B009,Infecção não especificada devida ao vírus do herpes
402,88,B010,Meningite por varicela
403,88,B011,Encefalite por varicela
404,88,B012,Pneumopatia varicelosa
405,88,B018,Varicela com outras complicações
406,88,B019,Varicela sem complicação
407,89,B020,Encefalite pelo vírus do herpes zoster
408,89,B021,Meningite pelo vírus do herpes zoster
409,89,B022,Herpes zoster acompanhado de outras manifestações neurológicas
410,89,B023,Herpes zoster oftálmico
411,89,B027,Herpes zoster disseminado
412,89,B028,Herpes zoster com outras complicações
413,89,B029,Herpes zoster sem complicação
414,90,B03,Varíola
415,91,B04,Varíola dos macacos [Monkeypox]
416,92,B050,Sarampo complicado por encefalite
417,92,B051,Sarampo complicado por meningite
418,92,B052,Sarampo complicado por pneumonia
419,92,B053,Sarampo complicado por otite média
420,92,B054,Sarampo com complicações intestinais
421,92,B058,Sarampo com outras complicações
422,92,B059,Sarampo sem complicação
423,93,B060,Rubéola com complicações neurológicas
424,93,B068,Rubéola com outras complicações
425,93,B069,Rubéola sem complicação
426,94,B07,Verrugas de origem viral
427,95,B080,Outras infecções por ortopoxvírus
428,95,B081,Molusco contagioso
429,95,B082,Exantema súbito [sexta doença]
430,95,B083,Eritema infeccioso [quinta doença]
431,95,B084,Estomatite vesicular devida a enterovírus com exantema
432,95,B085,Faringite vesicular devida a enterovírus
433,95,B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas
434,96,B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
435,97,B150,Hepatite A com coma hepático
436,97,B159,Hepatite A sem coma hepático
437,98,B160,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático"
438,98,B161,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático"
439,98,B162,"Hepatite aguda B sem agente Delta, com coma hepático"
440,98,B169,Hepatite aguda B sem agente Delta e sem coma hepático
441,99,B170,(Super)infecção Delta aguda de portador de hepatite B
442,99,B171,Hepatite aguda C
443,99,B172,Hepatite aguda E
444,99,B178,Outras hepatites virais agudas especificadas
445,100,B180,Hepatite viral crônica B com agente Delta
446,100,B181,Hepatite crônica viral B sem agente Delta
447,100,B182,Hepatite viral crônica C
448,100,B188,Outras hepatites crônicas virais
449,100,B189,Hepatite viral crônica não especificada
450,101,B190,"Hepatite viral, não especificada, com coma"
451,101,B199,"Hepatite viral, não especificada, sem coma"
452,102,B200,Doença pelo HIV resultando em infecções micobacterianas
453,102,B201,Doença pelo HIV resultando em outras infecções bacterianas
454,102,B202,Doença pelo HIV resultando em doença citomegálica
455,102,B203,Doença pelo HIV resultando em outras infecções virais
456,102,B204,Doença pelo HIV resultando em candidíase
457,102,B205,Doença pelo HIV resultando em outras micoses
458,102,B206,Doença pelo HIV resultando em pneumonia por Pneumocystis jirovecii
459,102,B207,Doença pelo HIV resultando em infecções múltiplas
460,102,B208,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias
461,102,B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada
462,103,B210,Doença pelo HIV resultando em sarcoma de Kaposi
463,103,B211,Doença pelo HIV resultando em linfoma de Burkitt
464,103,B212,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin
465,103,B213,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos"
466,103,B217,Doença pelo HIV resultando em múltiplas neoplasias malignas
467,103,B218,Doença pelo HIV resultando em outras neoplasias malignas
468,103,B219,Doença pelo HIV resultando em neoplasia maligna não especificada
469,104,B220,Doença pelo HIV resultando em encefalopatia
470,104,B221,Doença pelo HIV resultando em pneumonite intersticial linfática
471,104,B222,Doença pelo HIV resultando em síndrome de emaciação
472,104,B227,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte
473,105,B230,Síndrome de infecção aguda pelo HIV
474,105,B231,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes)
475,105,B232,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte
476,105,B238,Doença pelo HIV resultando em outra afecções especificadas
477,106,B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada
478,107,B250,Pneumonite por citomegalovírus 
479,107,B251,Hepatite por citomegalovírus
480,107,B252,Pancreatite por citomegalovírus
481,107,B258,Outras doenças por citomegalovírus
482,107,B259,Doença não especificada por citomegalovírus
483,108,B260,Orquite por caxumba [parotidite epidêmica]
484,108,B261,Meningite por caxumba [parotidite epidêmica]
485,108,B262,Encefalite por caxumba [parotidite epidêmica]
486,108,B263,Pancreatite por caxumba [parotidite epidêmica]
487,108,B268,Caxumba [parotidite epidêmica] com outras complicações
488,108,B269,Caxumba [parotidite epidêmica] sem complicações
489,109,B270,Mononucleose pelo vírus herpes gama
490,109,B271,Mononucleose por citomegalovírus
491,109,B278,Outras mononucleoses infecciosas
492,109,B279,Mononucleose infecciosa não especificada
493,110,B300,Ceratoconjuntivite devida a adenovírus
494,110,B301,Conjuntivite devida a adenovírus
495,110,B302,Faringoconjuntivite viral
496,110,B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus)
497,110,B308,Outras conjuntivites virais
498,110,B309,Conjuntivite viral não especificada
499,111,B330,Mialgia epidêmica
500,111,B331,Doença de Ross River
501,111,B332,Cardite viral
502,111,B333,Infecção por retrovírus não classificada em outra parte
503,111,B334,Síndrome (cardio-)pulmonar por Hantavírus [SPH] [SCPH]
504,111,B338,Outras doenças especificadas por vírus
505,112,B340,Infecção por adenovírus de localização não especificada
506,112,B341,Infecção por enterovírus de localização não especificada
507,112,B342,Infecção por coronavírus de localização não especificada
508,112,B343,Infecção por parvovírus de localização não especificada
509,112,B344,Infecção por papovavírus de localização não especificada
510,112,B348,Outras infecções por vírus de localização não especificada
511,112,B349,Infecção viral não especificada
512,113,B350,Tinha da barba e do couro cabeludo
513,113,B351,Tinha das unhas
514,113,B352,Tinha da mão
515,113,B353,Tinha dos pés
516,113,B354,Tinha do corpo
517,113,B355,Tinha imbricada
518,113,B356,Tinea cruris
519,113,B358,Outras dermatofitoses
520,113,B359,Dermatofitose não especificada
521,114,B360,Pitiríase versicolor
522,114,B361,Tinha negra
523,114,B362,Piedra branca
524,114,B363,Piedra negra
525,114,B368,Outras micoses superficiais especificadas
526,114,B369,Micose superficial não especificada
527,115,B370,Estomatite por Candida
528,115,B371,Candidíase pulmonar
529,115,B372,Candidíase da pele e das unhas
530,115,B373,Candidíase da vulva e da vagina
531,115,B374,Candidíase de outras localizações urogenitais
532,115,B375,Meningite por Candida
533,115,B376,Endocardite por Candida
534,115,B377,Septicemia por Candida
535,115,B378,Candidíase de outras localizações
536,115,B379,Candidíase não especificada
537,116,B380,Coccidioidomicose pulmonar aguda
538,116,B381,Coccidioidomicose pulmonar crônica
539,116,B382,Coccidioidomicose pulmonar não especificada
540,116,B383,Coccidioidomicose cutânea
541,116,B384,Meningite por coccidioidomicose
542,116,B387,Coccidioidomicose disseminada
543,116,B388,Outras formas de coccidioidomicose
544,116,B389,Coccidioidomicose não especificada
545,117,B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum
546,117,B391,Histoplasmose pulmonar crônica por Histoplasma capsulatum
547,117,B392,Histoplasmose pulmonar não especificada por Histoplasma capsulatum
548,117,B393,Histoplasmose disseminada por Histoplasma capsulatum
549,117,B394,Histoplasmose não especificada por Histoplasma capsulatum
550,117,B395,Histoplasmose por Histoplasma duboisii
551,117,B399,Histoplasmose não especificada
552,118,B400,Blastomicose pulmonar aguda
553,118,B401,Blastomicose pulmonar crônica
554,118,B402,Blastomicose pulmonar não especificada
555,118,B403,Blastomicose cutânea
556,118,B407,Blastomicose disseminada
557,118,B408,Outras formas de blastomicose
558,118,B409,Blastomicose não especificada
559,119,B410,Paracoccidioidomicose pulmonar
560,119,B417,Paracoccidioidomicose disseminada
561,119,B418,Outras formas de paracoccidioidomicose
